Kind,Name,Cyclomatic,CountLineCode,Essential
File,"ReflectionUtilsTests.java",,1037,
File,"RepeatedTest.java",,22,
File,"RepeatedTestDisplayNameFormatter.java",,19,
File,"RepeatedTestExtension.java",,40,
File,"RepeatedTestInvocationContext.java",,24,
File,"RepeatedTestTests.java",,141,
File,"RepeatedTestsDemo.java",,40,
File,"RepetitionInfo.java",,8,
File,"RepetitionInfoParameterResolver.java",,45,
File,"ReportEntry.java",,43,
File,"ReportingTests.java",,43,
File,"Root.java",,42,
File,"RunListenerAdapter.java",,114,
File,"RunListenerAdapter.java",,158,
File,"RunListenerAdapterTests.java",,237,
File,"RunnerExecutor.java",,36,
File,"RunnerRequest.java",,13,
File,"RunnerTestDescriptor.java",,18,
File,"RunnerTestDescriptorAwareFilter.java",,22,
File,"RunnerWithCustomUniqueIds.java",,37,
File,"SelectClasses.java",,17,
File,"SelectPackages.java",,17,
File,"SerializationUtils.java",,26,
File,"ServiceLoaderExtension.java",,8,
File,"ServiceLoaderTestEngineRegistry.java",,38,
File,"ServiceLoaderTestExecutionListenerRegistry.java",,18,
File,"SimpleArgumentConverter.java",,12,
File,"SingleFailingTheoryTestCase.java",,12,
File,"SingleTestExecutor.java",,28,
File,"SingleTestExecutorTests.java",,37,
File,"StandardTestClassTests.java",,170,
File,"StandardTests.java",,34,
File,"StringTests.java",,15,
File,"StringUtils.java",,62,
File,"StringUtilsTests.java",,97,
File,"SummaryGeneratingListener.java",,93,
File,"SummaryGenerationTests.java",,167,
File,"SurefireProviderTestSuite.java",,12,
File,"SystemPropertyCondition.java",,36,
File,"Tag.java",,17,
File,"TagFilter.java",,36,
File,"TagFilterTests.java",,137,
File,"TaggingDemo.java",,11,
File,"Tags.java",,15,
File,"TempDirectory.java",,82,
File,"Test.java",,16,
File,"TestCaseRunWithJUnitPlatformRunner.java",,8,
File,"TestCaseWithInheritanceTests.java",,211,
File,"TestClassCollector.java",,33,
File,"TestClassRequest.java",,20,
File,"TestClassRequestResolver.java",,93,
File,"TestClassRequestResolverTests.java",,54,
File,"TestContainerResolver.java",,67,
File,"TestDescriptor.java",,73,
File,"TestDescriptorBuilder.java",,55,
File,"TestDescriptorStub.java",,12,
File,"TestDescriptorTests.java",,18,
File,"TestEngine.java",,25,
File,"TestEngineSpy.java",,30,
File,"TestEngineStub.java",,26,
File,"TestExecutionExceptionHandler.java",,8,
File,"TestExecutionExceptionHandlerTests.java",,157,
File,"TestExecutionListener.java",,23,
File,"TestExecutionListenerRegistry.java",,64,
File,"TestExecutionResult.java",,46,
File,"TestExecutionResultConditions.java",,32,
File,"TestExecutionSummary.java",,31,
File,"TestFactory.java",,16,
File,"TestFactoryMethodResolver.java",,19,
File,"TestFactoryTestDescriptor.java",,88,
File,"TestFactoryTestDescriptorTests.java",,61,
File,"TestIdentifier.java",,102,
File,"TestIdentifierTests.java",,50,
File,"TestInfo.java",,13,
File,"TestInfoDemo.java",,29,
File,"TestInfoParameterResolver.java",,59,
File,"TestInfoParameterResolverTests.java",,57,
File,"TestInstance.java",,21,
File,"TestInstanceLifecycleConfigurationTests.java",,150,
File,"TestInstanceLifecycleTests.java",,812,
File,"TestInstanceLifecycleUtils.java",,46,
File,"TestInstanceLifecycleUtilsTests.java",,110,
File,"TestInstancePostProcessor.java",,7,
File,"TestInstancePostProcessorTests.java",,125,
File,"TestInstanceProvider.java",,10,
File,"TestInterfaceDemo.java",,10,
File,"TestInterfaceDynamicTestsDemo.java",,17,
File,"TestLifecycleLogger.java",,31,
File,"TestMethodResolver.java",,18,
File,"TestMethodTestDescriptor.java",,159,
File,"TestPlan.java",,87,
File,"TestPlanScannerFilter.java",,26,
File,"TestPlanScannerFilterTests.java",,102,
File,"TestPlanTests.java",,50,
File,"TestReporter.java",,13,
File,"TestReporterDemo.java",,17,
File,"TestReporterParameterResolver.java",,15,
File,"TestReporterParameterResolverTests.java",,45,
File,"TestRuleAnnotatedField.java",,21,
File,"TestRuleAnnotatedMember.java",,8,
File,"TestRuleAnnotatedMethod.java",,12,
File,"TestRuleSupport.java",,100,
File,"TestRun.java",,114,
File,"TestRunTests.java",,42,
File,"TestSource.java",,7,
File,"TestTag.java",,59,
File,"TestTagTests.java",,77,
File,"TestTemplate.java",,16,
File,"TestTemplateDemo.java",,53,
File,"TestTemplateExtensionContext.java",,34,
File,"TestTemplateInvocationContext.java",,14,
File,"TestTemplateInvocationContextProvider.java",,9,
File,"TestTemplateInvocationTestDescriptor.java",,30,
File,"TestTemplateInvocationTests.java",,599,
File,"TestTemplateMethodResolver.java",,19,
File,"TestTemplateTestDescriptor.java",,77,
File,"TestTemplateTestDescriptorTests.java",,44,
File,"Testable.java",,4,
File,"Testable.java",,16,
File,"TestingAStackDemo.java",,69,
File,"Theme.java",,66,
File,"ThemeConverter.java",,7,
File,"ThemeTests.java",,19,
File,"ThrowableCollector.java",,41,
File,"ThrowingConsumer.java",,8,
File,"ThrowingSupplier.java",,8,
File,"TimeExecutionLogger.java",,8,
File,"TimingExtension.java",,25,
File,"TimingExtensionTests.java",,14,
File,"ToStringBuilder.java",,29,
File,"ToStringBuilderTests.java",,124,
File,"TreeNode.java",,64,
File,"TreePrinter.java",,140,
File,"TreePrinterTests.java",,72,
File,"TreePrintingListener.java",,44,
File,"TwoTest.java",,7,
File,"URIConverter.java",,26,
File,"UniqueId.java",,118,
File,"UniqueIdFilter.java",,54,
File,"UniqueIdFormat.java",,109,
File,"UniqueIdFormatTests.java",,94,
File,"UniqueIdParsingForArrayParameterIntegrationTests.java",,36,
File,"UniqueIdReader.java",,31,
File,"UniqueIdReaderTests.java",,35,
File,"UniqueIdSelector.java",,20,
File,"UniqueIdSelectorResolver.java",,64,
File,"UniqueIdSelectorResolverTests.java",,73,
File,"UniqueIdStringifier.java",,40,
File,"UniqueIdStringifierTests.java",,63,
File,"UniqueIdTests.java",,144,
File,"UriSelector.java",,20,
File,"UriSource.java",,9,
File,"UseTechnicalNames.java",,16,
File,"UsingTheLauncherDemo.java",,46,
File,"ValueArgumentsProvider.java",,29,
File,"ValueArgumentsProviderTests.java",,56,
File,"ValueSource.java",,19,
File,"VerboseTreePrintingListener.java",,144,
File,"VerifierAdapter.java",,15,
File,"VerifierSupport.java",,15,
File,"VerifierSupportForMixedMethodAndFieldRulesTests.java",,39,
File,"VintageDiscoverer.java",,68,
File,"VintageDiscovererTests.java",,64,
File,"VintageIntegration.java",,23,
File,"VintageTestDescriptor.java",,93,
File,"VintageTestEngine.java",,52,
File,"VintageTestEngineBasicTests.java",,22,
File,"VintageTestEngineDiscoveryTests.java",,560,
