Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
File,JupiterEngineExecutionContext.java,23,1,,,,,20,,105
File,JupiterEngineExtensionContext.java,6,1,,,,,6,,34
File,JupiterIntegration.java,4,1,,,,,4,,22
File,JupiterMigrationSupportTestSuite.java,0,0,,,,,0,,12
File,JupiterParamsIntegration.java,1,1,,,,,1,,11
File,JupiterTestDescriptor.java,15,1,,,,,7,,99
File,JupiterTestDescriptorTests.java,30,1,,,,,30,,206
File,JupiterTestEngine.java,7,1,,,,,7,,49
File,JupiterTestEngineBasicTests.java,4,1,,,,,4,,22
File,JupiterTestSuite.java,0,0,,,,,0,,12
File,JupiterUniqueIdBuilder.java,7,1,,,,,6,,29
File,KeyValuePairConverter.java,3,1,,,,,3,,17
File,KitchenSinkExtension.java,13,1,,,,,13,,62
File,Launcher.java,0,0,,,,,3,,9
File,LauncherBasedEnableRuleMigrationSupportTests.java,11,1,,,,,11,,99
File,LauncherConfigurationParameters.java,20,1,,,,,8,,95
File,LauncherConfigurationParametersTests.java,19,1,,,,,12,,90
File,LauncherDiscoveryRequest.java,0,0,,,,,2,,13
File,LauncherDiscoveryRequestBuilder.java,11,1,,,,,8,,76
File,LauncherDiscoveryRequestBuilderTests.java,23,1,,,,,20,,237
File,LauncherFactory.java,3,1,,,,,2,,18
File,LauncherFactoryForTestingPurposesOnly.java,1,1,,,,,1,,8
File,LauncherFactoryTests.java,5,1,,,,,5,,51
File,LifecycleMethodUtils.java,18,1,,,,,11,,68
File,LifecycleMethodUtilsTests.java,34,1,,,,,28,,154
File,Logger.java,0,0,,,,,12,,19
File,LoggerFactory.java,24,1,,,,,18,,108
File,LoggingListener.java,14,1,,,,,12,,61
File,LoggingRunListener.java,7,1,,,,,7,,35
File,LongParameterResolver.java,5,2,,,,,2,,29
File,MalformedJUnit4TestCase.java,1,1,,,,,1,,9
File,MapOfStringsParameterResolver.java,4,2,,,,,2,,28
File,MarkdownApiReportWriter.java,8,1,,,,,8,,42
File,MethodArgumentsProvider.java,8,1,,,,,3,,35
File,MethodArgumentsProviderTests.java,42,1,,,,,37,,189
File,MethodBasedTestDescriptor.java,8,1,,,,,7,,42
File,MethodExtensionContext.java,6,1,,,,,6,,40
File,MethodFinder.java,2,1,,,,,1,,18
File,MethodSelector.java,19,1,,,,,13,,90
File,MethodSelectorResolver.java,11,1,,,,,6,,45
File,MethodSource.java,14,1,,,,,12,,75
File,MethodSource.java,0,0,,,,,1,,16
File,MethodSourceTests.java,27,1,,,,,20,,109
File,MultipleTestableAnnotationsTests.java,9,1,,,,,8,,62
File,MutableTestExecutionSummary.java,29,1,,,,,25,,175
File,NamespaceAwareStore.java,8,1,,,,,8,,56
File,Nested.java,0,0,,,,,0,,14
File,NestedClassTestDescriptor.java,4,1,,,,,3,,36
File,NestedTestClassesTests.java,28,1,,,,,22,,155
File,NestedTestsResolver.java,6,1,,,,,6,,34
File,Node.java,11,1,,,,,12,,54
File,NonVoidTestableMethodIntegrationTests.java,4,1,,,,,4,,24
